City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
74,talnakh,69.4939889,88.3907607,3.86,96,100,2.41,RU,2024-09-30
75,santa vitoria do palmar,-33.5198333,-53.3693967,23.95,76,100,3.11,BR,2024-09-30
76,bethel,60.7922222,-161.7558333,4.03,93,0,2.06,US,2024-09-30
77,fort st. john,56.2524039,-120.846943,8.94,40,75,7.2,CA,2024-09-30
78,magadan,59.5604768,150.7988617,1.67,61,100,3.05,RU,2024-09-30
79,osa,57.2829207,55.4602059,12.0,54,100,2.62,RU,2024-09-30
80,bilibino,68.0550305,166.4448515,-2.76,96,100,1.17,RU,2024-09-30
81,lorengau,-2.0329567,147.2789185,27.55,80,39,4.93,PG,2024-09-30
82,gisborne,-38.661326,178.0206487,11.22,80,100,2.81,NZ,2024-09-30
83,west island,-12.145866,96.84227540282865,26.03,94,75,5.66,AU,2024-09-30
84,'aqrah,36.7304865,43.8748927,23.29,23,0,1.75,IQ,2024-09-30
85,albany,42.6511674,-73.754968,25.42,67,75,0.89,US,2024-09-30
86,punta arenas,-53.1625688,-70.907822,4.16,87,100,12.35,CL,2024-09-30
87,igarka,67.4566185,86.5308425,4.91,96,100,4.04,RU,2024-09-30
88,tezu,27.9254195,96.1647135,23.05,96,67,1.55,IN,2024-09-30
89,puerto natales,-51.7262003,-72.5059982,6.32,56,75,12.86,CL,2024-09-30
90,maintirano,-18.0608947,44.023951,24.8,78,0,1.5,MG,2024-09-30
91,siwa oasis,29.2034664,25.5192273,25.6,42,0,7.32,EG,2024-09-30
92,mugia,43.1071193,-9.2181926,19.9,97,100,6.82,ES,2024-09-30
93,klyuchi,56.318218,160.842178,4.15,61,100,0.12,RU,2024-09-30
94,bichura,50.588627,107.599274,-1.42,60,68,2.41,RU,2024-09-30
95,vorkuta,67.5035662,64.0627028,3.73,74,99,12.73,RU,2024-09-30
96,barclayville,4.6803743,-8.2332721,24.57,91,100,3.07,LR,2024-09-30
97,kushuhum,47.71671,35.20981,19.17,33,100,4.42,UA,2024-09-30
98,ketchikan,55.3430696,-131.6466819,8.26,49,100,5.66,US,2024-09-30
99,petropavlovsk-kamchatsky,53.0199838,158.6471356,8.06,77,100,4.68,RU,2024-09-30
